#t0_Mstar=3.981072e+10 (N07Mbar=5.653661e+10) t0_sfr=1.780908e+00	1.00000000000000001988462483866e+30 t0_sfr=9.220171e-01
#tlb ,red_binl[i],Mstar[i],CSFH[i],phi[i],dMLdt[i],massloss_to_t0[i], Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi	1.00000000000000001988462483866e+30 Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi
1.019055e+10 1.940974 5.778595e+08	1.469606e+07 1.998784e+09
1.017745e+10 1.933338 6.245484e+08	2.687471e+07 2.054847e+09
1.016435e+10 1.925742 6.729796e+08	4.198432e+07 2.111647e+09
1.015126e+10 1.918185 7.231317e+08	5.161877e+07 2.169180e+09
1.013816e+10 1.910694 7.749845e+08	6.270177e+07 2.227440e+09
1.012506e+10 1.903244 8.285151e+08	7.533427e+07 2.286422e+09
1.011196e+10 1.895832 8.836993e+08	8.961302e+07 2.346119e+09
1.009886e+10 1.888458 9.405130e+08	1.056300e+08 2.406523e+09
1.008576e+10 1.881133 9.989320e+08	1.234731e+08 2.467629e+09
1.007266e+10 1.873862 1.058933e+09	1.432250e+08 2.529430e+09
1.005957e+10 1.866627 1.120489e+09	1.649616e+08 2.591920e+09
1.004647e+10 1.859429 1.183575e+09	1.887527e+08 2.655091e+09
1.003337e+10 1.852267 1.248164e+09	2.146619e+08 2.718934e+09
1.002027e+10 1.845164 1.314232e+09	2.427494e+08 2.783445e+09
1.000717e+10 1.838100 1.381753e+09	2.730668e+08 2.848615e+09
9.994074e+09 1.831072 1.450698e+09	3.056592e+08 2.914437e+09
9.980976e+09 1.824078 1.521042e+09	3.405657e+08 2.980902e+09
9.967878e+09 1.817123 1.592758e+09	3.778197e+08 3.048003e+09
9.954779e+09 1.810224 1.665821e+09	4.174515e+08 3.115733e+09
9.941681e+09 1.803359 1.740203e+09	4.594822e+08 3.184085e+09
9.928582e+09 1.796527 1.815878e+09	5.039274e+08 3.253048e+09
9.915484e+09 1.789728 1.892819e+09	5.507973e+08 3.322616e+09
9.902386e+09 1.782974 1.970999e+09	6.000992e+08 3.392781e+09
9.889287e+09 1.776267 2.050394e+09	6.518360e+08 3.463536e+09
9.876189e+09 1.769591 2.130977e+09	7.060028e+08 3.534872e+09
9.863091e+09 1.762947 2.212721e+09	7.625906e+08 3.606780e+09
9.849992e+09 1.756335 2.295600e+09	8.215861e+08 3.679252e+09
9.836894e+09 1.749772 2.379589e+09	8.829761e+08 3.752280e+09
9.823795e+09 1.743247 2.464664e+09	9.467414e+08 3.825858e+09
9.810697e+09 1.736752 2.550798e+09	1.012857e+09 3.899976e+09
9.797599e+09 1.730289 2.637966e+09	1.081296e+09 3.974626e+09
9.784500e+09 1.723856 2.726141e+09	1.152027e+09 4.049798e+09
9.771402e+09 1.717472 2.815303e+09	1.225023e+09 4.125486e+09
9.758303e+09 1.711122 2.905427e+09	1.300247e+09 4.201683e+09
9.745205e+09 1.704802 2.996486e+09	1.377663e+09 4.278379e+09
9.732107e+09 1.698511 3.088458e+09	1.448457e+09 4.355565e+09
9.719008e+09 1.692249 3.181317e+09	1.457728e+09 4.433232e+09
9.705910e+09 1.686036 3.275044e+09	1.467452e+09 4.511375e+09
9.692811e+09 1.679854 3.369614e+09	1.477649e+09 4.589986e+09
9.679713e+09 1.673700 3.465004e+09	1.488337e+09 4.669054e+09
9.666615e+09 1.667575 3.561191e+09	1.499537e+09 4.748572e+09
9.653516e+09 1.661477 3.658152e+09	1.511272e+09 4.828531e+09
9.640418e+09 1.655426 3.755868e+09	1.523561e+09 4.908925e+09
9.627319e+09 1.649405 3.854317e+09	1.536430e+09 4.989746e+09
9.614221e+09 1.643411 3.953476e+09	1.549902e+09 5.070984e+09
9.601123e+09 1.637444 4.053325e+09	1.564005e+09 5.152632e+09
9.588024e+09 1.631504 4.153841e+09	1.578766e+09 5.234680e+09
9.574926e+09 1.625607 4.255007e+09	1.594212e+09 5.317124e+09
9.561827e+09 1.619740 4.356803e+09	1.610374e+09 5.399954e+09
9.548729e+09 1.613899 4.459208e+09	1.627283e+09 5.483163e+09
