#t0_Mstar=1.000000e+10 (N07Mbar=2.568469e+10) t0_sfr=7.255066e-01	1.00000000000000001988462483866e+30 t0_sfr=8.317638e-01
#tlb ,red_binl[i],Mstar[i],CSFH[i],phi[i],dMLdt[i],massloss_to_t0[i], Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi	1.00000000000000001988462483866e+30 Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi
9.653516e+09 1.661477 0.000000e+00	0.000000e+00 5.908465e+08
9.640418e+09 1.655426 0.000000e+00	0.000000e+00 6.048018e+08
9.627319e+09 1.649405 0.000000e+00	0.000000e+00 6.189114e+08
9.614221e+09 1.643411 0.000000e+00	0.000000e+00 6.331739e+08
9.601123e+09 1.637444 0.000000e+00	0.000000e+00 6.475879e+08
9.588024e+09 1.631504 0.000000e+00	0.000000e+00 6.621520e+08
9.574926e+09 1.625607 0.000000e+00	0.000000e+00 6.768652e+08
9.561827e+09 1.619740 0.000000e+00	0.000000e+00 6.917261e+08
9.548729e+09 1.613899 0.000000e+00	0.000000e+00 7.067332e+08
9.535631e+09 1.608084 0.000000e+00	0.000000e+00 7.218850e+08
9.522532e+09 1.602295 0.000000e+00	0.000000e+00 7.371799e+08
9.509434e+09 1.596544 7.934736e+05	0.000000e+00 7.526168e+08
9.496335e+09 1.590825 1.428767e+06	0.000000e+00 7.681944e+08
9.483237e+09 1.585132 2.282232e+06	0.000000e+00 7.839110e+08
9.470139e+09 1.579463 3.370064e+06	0.000000e+00 7.997651e+08
9.457040e+09 1.573819 4.706197e+06	0.000000e+00 8.157550e+08
9.443942e+09 1.568207 6.302745e+06	0.000000e+00 8.318795e+08
9.430844e+09 1.562630 8.170284e+06	0.000000e+00 8.481373e+08
9.417745e+09 1.557078 1.031801e+07	0.000000e+00 8.645266e+08
9.404647e+09 1.551549 1.275395e+07	0.000000e+00 8.810459e+08
9.391548e+09 1.546045 1.548508e+07	0.000000e+00 8.976936e+08
9.378450e+09 1.540565 1.851747e+07	0.000000e+00 9.144680e+08
9.365352e+09 1.535125 2.185643e+07	0.000000e+00 9.313681e+08
9.352253e+09 1.529709 2.550644e+07	0.000000e+00 9.483921e+08
9.339155e+09 1.524315 2.947131e+07	0.000000e+00 9.655384e+08
9.326056e+09 1.518944 3.375419e+07	0.000000e+00 9.828054e+08
9.312958e+09 1.513596 3.835769e+07	0.000000e+00 1.000191e+09
9.299860e+09 1.508282 4.328400e+07	0.000000e+00 1.017695e+09
9.286761e+09 1.502996 4.853478e+07	0.000000e+00 1.035315e+09
9.273663e+09 1.497732 5.411119e+07	0.000000e+00 1.053049e+09
9.260564e+09 1.492490 6.001400e+07	0.000000e+00 1.070896e+09
9.247466e+09 1.487270 6.624360e+07	0.000000e+00 1.088855e+09
9.234368e+09 1.482075 7.280007e+07	0.000000e+00 1.106923e+09
9.221269e+09 1.476914 7.968330e+07	3.016704e+05 1.125099e+09
9.208171e+09 1.471775 8.689272e+07	4.862986e+05 1.143382e+09
9.195072e+09 1.466656 9.442748e+07	7.292197e+05 1.161771e+09
9.181974e+09 1.461559 1.022865e+08	1.034985e+06 1.180262e+09
9.168876e+09 1.456483 1.104684e+08	1.407251e+06 1.198855e+09
9.155777e+09 1.451438 1.189719e+08	1.848956e+06 1.217549e+09
9.142679e+09 1.446418 1.277953e+08	2.362403e+06 1.236341e+09
9.129580e+09 1.441419 1.369366e+08	2.949340e+06 1.255231e+09
9.116482e+09 1.436441 1.463938e+08	3.611062e+06 1.274217e+09
9.103384e+09 1.431482 1.561646e+08	4.348465e+06 1.293296e+09
9.090285e+09 1.426544 1.662465e+08	5.162106e+06 1.312467e+09
9.077187e+09 1.421640 1.766374e+08	6.052322e+06 1.331730e+09
9.064088e+09 1.416755 1.873345e+08	7.019123e+06 1.351083e+09
9.050990e+09 1.411891 1.983351e+08	8.062305e+06 1.370523e+09
9.037892e+09 1.407045 2.096363e+08	9.181472e+06 1.390050e+09
9.024793e+09 1.402220 2.212352e+08	1.037606e+07 1.409661e+09
9.011695e+09 1.397417 2.331286e+08	1.167873e+07 1.429355e+09
8.998597e+09 1.392643 2.453138e+08	1.311958e+07 1.449132e+09
8.985498e+09 1.387888 2.577874e+08	1.470303e+07 1.468989e+09
8.972400e+09 1.383152 2.705463e+08	1.643757e+07 1.488925e+09
8.959301e+09 1.378435 2.835869e+08	1.833219e+07 1.508938e+09
8.946203e+09 1.373736 2.969060e+08	2.039625e+07 1.529026e+09
8.933105e+09 1.369062 3.105003e+08	2.263924e+07 1.549189e+09
8.920006e+09 1.364413 3.243664e+08	2.507087e+07 1.569425e+09
